,ID_IMG,PREDICTION
0,/home/ariana.venegas/Documents/II_Semester/ML703_project/CNN_Binary_Template_2.0/code/test/Rotation/rotation_9.jpeg,1
1,/home/ariana.venegas/Documents/II_Semester/ML703_project/CNN_Binary_Template_2.0/code/test/Rotation/rotation_12.jpeg,1
2,/home/ariana.venegas/Documents/II_Semester/ML703_project/CNN_Binary_Template_2.0/code/test/Rotation/rotation_1.jpeg,1
3,/home/ariana.venegas/Documents/II_Semester/ML703_project/CNN_Binary_Template_2.0/code/test/Rotation/rotation_5.jpeg,1
4,/home/ariana.venegas/Documents/II_Semester/ML703_project/CNN_Binary_Template_2.0/code/test/Rotation/rotation_4.jpeg,1
5,/home/ariana.venegas/Documents/II_Semester/ML703_project/CNN_Binary_Template_2.0/code/test/Rotation/rotation_8.jpeg,1
6,/home/ariana.venegas/Documents/II_Semester/ML703_project/CNN_Binary_Template_2.0/code/test/Rotation/rotation_13.jpeg,1
7,/home/ariana.venegas/Documents/II_Semester/ML703_project/CNN_Binary_Template_2.0/code/test/Rotation/rotation_2.jpeg,0
8,/home/ariana.venegas/Documents/II_Semester/ML703_project/CNN_Binary_Template_2.0/code/test/Rotation/rotation_6.jpeg,0
9,/home/ariana.venegas/Documents/II_Semester/ML703_project/CNN_Binary_Template_2.0/code/test/Rotation/rotation_11.jpeg,1
10,/home/ariana.venegas/Documents/II_Semester/ML703_project/CNN_Binary_Template_2.0/code/test/Rotation/rotation_15.jpeg,1
11,/home/ariana.venegas/Documents/II_Semester/ML703_project/CNN_Binary_Template_2.0/code/test/Rotation/rotation_10.jpeg,1
12,/home/ariana.venegas/Documents/II_Semester/ML703_project/CNN_Binary_Template_2.0/code/test/Rotation/rotation_14.jpeg,1
13,/home/ariana.venegas/Documents/II_Semester/ML703_project/CNN_Binary_Template_2.0/code/test/Rotation/rotation_3.jpeg,1
14,/home/ariana.venegas/Documents/II_Semester/ML703_project/CNN_Binary_Template_2.0/code/test/Rotation/rotation_7.jpeg,0
